term,rank difference, democrats frequency, republicans frequency
httpewarren28984, -0.0033323142769795533, 3, 0
httpewarrenbc450, -0.0033628859675940426, 3, 0
httpewarren9jd2, -0.003393457658208532, 3, 0
httpewarren24a90, -0.003424029348823021, 3, 0
jerry, -0.003437972384708332, 296, 309
httpewarrengtru, -0.0034546010394375104, 3, 0
httpewarrenhbph, -0.0034851727300519997, 3, 0
arizona, -0.003514548171564935, 14074, 7999
httpewarren84960, -0.003515744420666489, 3, 0
httpewarren5b198, -0.0035463161112809782, 3, 0
joe, -0.003569670696388888, 110651, 28835
ballot, -0.0035726019027966004, 68957, 24726
httpewarren1bdd0, -0.0035768878018954675, 3, 0
httpewarren2a2e8, -0.003607459492509957, 3, 0
conservatives, -0.0036216164272412366, 1370, 1538
httpewarren7ee04, -0.003638031183124446, 3, 0
give, -0.0036614174569502824, 56592, 22346
httpewarren95d39, -0.0036686028737389353, 3, 0
httpewarrenb63aa, -0.0036991745643534246, 3, 0
httpewarrenfa1e3, -0.003729746254967914, 3, 0
derrotar, -0.0037475790809780585, 56, 56
httpewarrene929f, -0.003760317945582403, 3, 0
httpewarren14847, -0.0037908896361968925, 3, 0
registration, -0.003798487006318494, 10398, 6679
httpewarrencdxr, -0.0038214613268113817, 3, 0
donate, -0.0038404349466666997, 311464, 34049
httpewarrenoefn, -0.003852033017425871, 3, 0
httpewarrenf479f, -0.0038826047080403603, 3, 0
httpewarrenc74b4, -0.0039131763986548496, 3, 0
httpewarren2f4a0, -0.003943748089269339, 3, 0
httpewarrenae11b, -0.003974319779883828, 3, 0
day, -0.003980213881417173, 98800, 26362
us, -0.003986012916796755, 572555, 36333
